0|0,0,0,0,|0,0,0,0,|1,0,1,0,|nq=off	2	-3.5746944553030158,-5.726553457423126
0|0,0,0,0,|0,0,0,0,|0,0,0,0,|nq=off	2	-42.285101137147521,-41.81981728046398
0|0,2,0,2,|0,2,0,2,|0,2,0,2,|nq=off	2	0,-2
0|0,2,0,2,|0,0,0,0,|0,2,0,2,|nq=off	2	-65.815736729291885,-48.515583626459879
0|1,0,1,0,|0,0,0,0,|1,0,1,0,|nq=off	2	-12.062867454374329,-18.079379226835822
0|1,0,1,0,|0,0,0,0,|2,0,2,0,|nq=off	2	-13.211219220420498,-20.617642350292719
0|0,0,0,1,|0,0,0,0,|1,1,0,2,|nq=off	2	-10.117244885000002,-1.2033499999999999
0|1,0,1,0,|0,0,0,0,|1,0,2,0,|nq=off	2	-8.2745229082516278,-12.311051835000001
0|1,1,0,0,|0,0,0,0,|1,2,1,1,|nq=off	2	-1.1500000000000001,-5.8895
0|0,0,0,1,|0,0,0,0,|0,1,0,2,|nq=off	2	-4.9173626208750001,-1.1670117500000003
0|0,0,1,0,|0,0,0,0,|1,0,2,0,|nq=off	2	-6.356361540980382,-8.8206592649999997
0|0,0,1,0,|0,0,0,0,|1,0,1,0,|nq=off	2	-3.3511809800000005,-1.9408250000000002
0|0,0,1,0,|0,0,0,0,|0,0,2,0,|nq=off	2	-19.488166873462578,-23.965701728317416
0|0,0,0,1,|0,0,0,0,|0,0,0,1,|nq=off	2	-21.04367392612588,-20.493129325356158
0|0,0,1,0,|0,0,0,0,|0,0,1,0,|nq=off	2	-2.1042449943750006,-7.4737066524999998
0|0,0,0,0,|0,0,0,0,|1,0,0,0,|nq=off	2	-19.159398749977747,-19.665863288986426
0|0,0,0,0,|0,0,0,0,|0,0,1,0,|nq=off	2	-12.870913328932371,-13.025488438556993
0|0,0,0,0,|0,0,0,0,|1,0,0,1,|nq=off	2	-2.5558500000000004,-2.9006604275000005
0|0,0,0,0,|0,0,0,0,|0,0,1,1,|nq=off	2	-4.6968455000000002,-0.18235000000000001
0|0,0,1,0,|0,0,0,0,|0,1,1,1,|nq=off	2	-6.4822843925000004,-1.6413250000000004
0|0,0,0,1,|0,0,0,0,|0,0,0,2,|nq=off	2	-18.379244416809492,-18.088523979797856
0|0,0,0,0,|0,0,0,0,|0,0,0,1,|nq=off	2	-9.2668719215142232,-7.3670281043353842
0|0,0,0,0,|0,0,0,0,|0,1,0,1,|nq=off	2	-7.2025050634343124,-7.2545088235230617
0|0,0,0,1,|0,0,0,0,|0,1,0,1,|nq=off	2	-8.4827703425000021,-0.77417500000000039
